"country","pop2012","imr","tfr","le","leM","leF","region","area","closest_ocean"
"Algeria",37.4,24,2.9,73,72,75,"Northern Africa","Africa","indian"
"Egypt",82.3,24,2.9,72,70,74,"Northern Africa","Africa","indian"
"Libya",6.5,14,2.6,75,72,77,"Northern Africa","Africa","indian"
"Morocco",32.6,30,2.3,72,70,74,"Northern Africa","Africa","indian"
"South Sudan",9.4,101,5.4,52,50,53,"Northern Africa","Africa","indian"
"Sudan",33.5,67,4.2,60,58,62,"Northern Africa","Africa","indian"
"Tunisia",10.8,20,2.1,75,73,77,"Northern Africa","Africa","atlantic"
"Benin",9.4,81,5.4,56,54,58,"Western Africa","Africa","atlantic"
"Burkina Faso",17.5,65,6,55,54,56,"Western Africa","Africa","atlantic"
"Cote d'Ivoire",20.6,73,4.6,55,54,56,"Western Africa","Africa","atlantic"
"Gambia",1.8,70,4.9,58,57,59,"Western Africa","Africa","atlantic"
"Ghana",25.5,47,4.2,64,63,65,"Western Africa","Africa","atlantic"
"Guinea",11.5,89,5.2,54,52,55,"Western Africa","Africa","atlantic"
"Guinea-Bissau",1.6,103,5.1,48,47,50,"Western Africa","Africa","atlantic"
"Liberia",4.2,83,5.4,56,55,57,"Western Africa","Africa","atlantic"
"Mali",16,97,6.3,51,50,52,"Western Africa","Africa","atlantic"
"Mauritania",3.6,74,4.5,58,57,60,"Western Africa","Africa","atlantic"
"Niger",16.3,81,7.1,58,56,60,"Western Africa","Africa","atlantic"
"Nigeria",170.1,77,5.6,51,48,54,"Western Africa","Africa","atlantic"
"Senegal",13.1,47,5,58,57,59,"Western Africa","Africa","atlantic"
"Sierra Leone",6.1,109,5,47,47,48,"Western Africa","Africa","atlantic"
"Togo",6,78,4.7,62,60,65,"Western Africa","Africa","atlantic"
"Burundi",10.6,63,6.4,58,57,60,"Eastern Africa","Africa","indian"
"Eritrea",5.6,51,4.5,61,59,63,"Eastern Africa","Africa","indian"
"Ethiopia",87,59,4.8,59,57,60,"Eastern Africa","Africa","indian"
"Kenya",43,47,4.4,62,60,63,"Eastern Africa","Africa","indian"
"Madagascar",21.9,43,4.7,66,65,68,"Eastern Africa","Africa","indian"
"Malawi",15.9,66,5.7,53,53,53,"Eastern Africa","Africa","indian"
"Mauritius",1.3,13,1.4,73,70,77,"Eastern Africa","Africa","indian"
"Mozambique",23.7,86,5.9,52,50,54,"Eastern Africa","Africa","indian"
"Rwanda",10.8,50,4.6,54,53,55,"Eastern Africa","Africa","indian"
"Somalia",10.1,107,6.4,50,48,52,"Eastern Africa","Africa","indian"
"Tanzania",47.7,51,5.4,57,56,58,"Eastern Africa","Africa","indian"
"Uganda",35.6,54,6.2,53,53,54,"Eastern Africa","Africa","indian"
"Zambia",13.7,88,6.3,48,48,49,"Eastern Africa","Africa","indian"
"Zimbabwe",12.6,57,4.1,48,48,47,"Eastern Africa","Africa","indian"
"Angola",20.9,64,6.3,54,53,55,"Middle Africa","Africa","indian"
"Cameroon",20.9,62,5.1,51,50,52,"Middle Africa","Africa","indian"
"Central African Republic",4.6,101,4.6,48,46,49,"Middle Africa","Africa","indian"
"Chad",11.8,128,6,49,48,51,"Middle Africa","Africa","indian"
"Congo",4.2,70,5.1,57,56,58,"Middle Africa","Africa","indian"
"Congo, Dem. Rep.",69.1,115,6.3,48,47,50,"Middle Africa","Africa","indian"
"Gabon",1.6,47,3.3,62,61,63,"Middle Africa","Africa","indian"
"Botswana",1.9,44,2.8,51,52,50,"Southern Africa","Africa","atlantic"
"Lesotho",2.2,80,3.2,48,48,47,"Southern Africa","Africa","atlantic"
"Namibia",2.4,34,3.3,62,61,62,"Southern Africa","Africa","atlantic"
"South Africa",51.1,38,2.4,54,55,54,"Southern Africa","Africa","atlantic"
"Swaziland",1.2,70,3.5,48,49,48,"Southern Africa","Africa","atlantic"
"Canada",34.9,5,1.7,81,79,83,"Northern America","Americas","atlantic"
"United States",313.9,6,1.9,79,76,81,"Northern America","Americas","atlantic"
"Costa Rica",4.5,9,1.8,79,77,82,"Central America","Americas","pacific"
"El Salvador",6.3,20,2.3,72,67,77,"Central America","Americas","pacific"
"Guatemala",15,30,3.6,71,67,74,"Central America","Americas","pacific"
"Honduras",8.4,26,3.2,73,71,75,"Central America","Americas","pacific"
"Mexico",116.1,15,2.3,77,74,79,"Central America","Americas","pacific"
"Nicaragua",6,20,2.6,74,71,77,"Central America","Americas","pacific"
"Panama",3.6,17,2.4,76,73,80,"Central America","Americas","pacific"
"Cuba",11.2,5,1.7,78,76,80,"Caribbean","Americas","pacific"
"Dominican Republic",10.1,27,2.6,73,70,76,"Caribbean","Americas","pacific"
"Haiti",10.3,61,3.4,62,61,63,"Caribbean","Americas","pacific"
"Jamaica",2.7,23,2.1,73,70,76,"Caribbean","Americas","pacific"
"Puerto Rico",3.7,9,1.6,79,75,83,"Caribbean","Americas","pacific"
"Trinidad and Tobago",1.3,29,1.8,71,68,74,"Caribbean","Americas","pacific"
"Argentina",40.8,12,2.4,76,72,80,"South America","Americas","pacific"
"Bolivia",10.8,42,3.3,67,65,69,"South America","Americas","pacific"
"Brazil",194.3,20,1.9,74,70,77,"South America","Americas","pacific"
"Chile",17.4,8,1.9,79,75,82,"South America","Americas","pacific"
"Colombia",47.4,16,2.1,73,70,77,"South America","Americas","pacific"
"Ecuador",14.9,20,2.5,75,73,79,"South America","Americas","pacific"
"Paraguay",6.7,30,3,72,70,74,"South America","Americas","pacific"
"Peru",30.1,16,2.6,74,71,76,"South America","Americas","pacific"
"Uruguay",3.4,11,2,76,73,80,"South America","Americas","pacific"
"Venezuela",29.7,16,2.5,74,71,77,"South America","Americas","pacific"
"Armenia",3.3,11,1.7,74,71,77,"Western Asia","Asia/Oceania","indian"
"Azerbaijan",9.3,11,2.3,74,71,76,"Western Asia","Asia/Oceania","indian"
"Bahrain",1.3,11,1.9,78,76,80,"Western Asia","Asia/Oceania","indian"
"Cyprus",1.2,3,1.4,78,76,81,"Western Asia","Asia/Oceania","indian"
"Georgia",4.5,12,1.7,74,70,79,"Western Asia","Asia/Oceania","indian"
"Iraq",33.7,33,4.6,70,66,72,"Western Asia","Asia/Oceania","indian"
"Israel",7.9,3,3,82,80,83,"Western Asia","Asia/Oceania","indian"
"Jordan",6.3,23,3.8,73,72,74,"Western Asia","Asia/Oceania","indian"
"Kuwait",2.9,8,2.3,75,74,76,"Western Asia","Asia/Oceania","indian"
"Lebanon",4.3,21,1.9,72,70,75,"Western Asia","Asia/Oceania","indian"
"Oman",3.1,16,2.9,74,72,76,"Western Asia","Asia/Oceania","indian"
"Palestinian Territory",4.3,21,4.4,73,71,74,"Western Asia","Asia/Oceania","indian"
"Qatar",1.9,7,2.1,78,78,79,"Western Asia","Asia/Oceania","indian"
"Saudi Arabia",28.7,17,2.8,74,73,75,"Western Asia","Asia/Oceania","indian"
"Syria",22.5,16,3,74,71,77,"Western Asia","Asia/Oceania","indian"
"Turkey",74.9,22,2,73,71,76,"Western Asia","Asia/Oceania","indian"
"United Arab Emirates",8.1,7,1.8,76,76,78,"Western Asia","Asia/Oceania","indian"
"Yemen",25.6,48,5.2,65,64,67,"Western Asia","Asia/Oceania","indian"
"Afghanistan",33.4,129,6.2,49,48,49,"South Central Asia","Asia/Oceania","indian"
"Bangladesh",152.9,43,2.3,69,68,69,"South Central Asia","Asia/Oceania","indian"
"India",1259.7,47,2.5,65,64,67,"South Central Asia","Asia/Oceania","indian"
"Iran",78.9,43,1.9,70,68,71,"South Central Asia","Asia/Oceania","indian"
"Kazakhstan",16.8,17,2.6,69,64,74,"South Central Asia","Asia/Oceania","indian"
"Kyrgyzstan",5.7,25,2.6,69,65,73,"South Central Asia","Asia/Oceania","indian"
"Nepal",30.9,46,2.6,68,68,69,"South Central Asia","Asia/Oceania","indian"
"Pakistan",180.4,68,3.5,65,64,66,"South Central Asia","Asia/Oceania","indian"
"Sri Lanka",21.2,12,2.2,75,72,78,"South Central Asia","Asia/Oceania","indian"
"Tajikistan",7.1,53,3.3,73,70,75,"South Central Asia","Asia/Oceania","indian"
"Turkmenistan",5.2,49,2.4,65,61,69,"South Central Asia","Asia/Oceania","indian"
"Uzbekistan",29.8,46,2.6,68,65,71,"South Central Asia","Asia/Oceania","indian"
"Cambodia",15,57,3,62,60,65,"Southeast Asia","Asia/Oceania","pacific"
"Indonesia",241,29,2.3,72,70,74,"Southeast Asia","Asia/Oceania","pacific"
"Laos",6.5,57,3.5,65,64,67,"Southeast Asia","Asia/Oceania","pacific"
"Malaysia",29,7,2.6,74,72,77,"Southeast Asia","Asia/Oceania","pacific"
"Myanmar",54.6,51,2.3,65,61,67,"Southeast Asia","Asia/Oceania","pacific"
"Philippines",96.2,22,3.2,69,65,72,"Southeast Asia","Asia/Oceania","pacific"
"Singapore",5.3,2,1.2,82,79,84,"Southeast Asia","Asia/Oceania","pacific"
"Thailand",69.9,12,1.6,74,71,77,"Southeast Asia","Asia/Oceania","pacific"
"Timor-Leste",1.1,45,5.7,62,61,63,"Southeast Asia","Asia/Oceania","pacific"
"Vietnam",89,16,2,73,70,76,"Southeast Asia","Asia/Oceania","pacific"
"China",1350.4,17,1.5,75,73,77,"East Asia","Asia/Oceania","pacific"
"Japan",127.6,2,1.4,83,80,86,"East Asia","Asia/Oceania","pacific"
"Korea, North",24.6,28,2,69,65,73,"East Asia","Asia/Oceania","pacific"
"Korea, South",48.9,3,1.2,81,77,84,"East Asia","Asia/Oceania","pacific"
"Mongolia",2.9,39,2.5,68,64,72,"East Asia","Asia/Oceania","pacific"
"Taiwan",23.3,4,1.1,79,76,83,"East Asia","Asia/Oceania","pacific"
"Denmark",5.6,4,1.8,79,77,82,"Northern Europe","Europe","atlantic"
"Estonia",1.3,3,1.5,76,71,81,"Northern Europe","Europe","atlantic"
"Finland",5.4,2,1.8,80,77,84,"Northern Europe","Europe","atlantic"
"Ireland",4.7,4,2.1,79,77,82,"Northern Europe","Europe","atlantic"
"Latvia",2,6,1.1,74,69,78,"Northern Europe","Europe","atlantic"
"Lithuania",3.2,4,1.5,73,68,79,"Northern Europe","Europe","atlantic"
"Norway",5,2,1.9,81,79,84,"Northern Europe","Europe","atlantic"
"Sweden",9.5,2,1.9,82,80,84,"Northern Europe","Europe","atlantic"
"United Kingdom",63.2,4,2,80,78,82,"Northern Europe","Europe","atlantic"
"Austria",8.5,4,1.4,81,78,83,"Western Europe","Europe","atlantic"
"Belgium",11.1,4,1.8,80,78,83,"Western Europe","Europe","atlantic"
"France",63.6,4,2,82,78,85,"Western Europe","Europe","atlantic"
"Germany",81.8,3,1.4,80,78,83,"Western Europe","Europe","atlantic"
"Netherlands",16.7,4,1.7,81,79,83,"Western Europe","Europe","atlantic"
"Switzerland",8,4,1.5,82,80,85,"Western Europe","Europe","atlantic"
"Belarus",9.5,4,1.5,70,65,77,"Eastern Europe","Europe","atlantic"
"Bulgaria",7.2,9,1.5,74,70,77,"Eastern Europe","Europe","atlantic"
"Czech Republic",10.5,3,1.4,78,75,81,"Eastern Europe","Europe","atlantic"
"Hungary",9.9,5,1.2,74,71,78,"Eastern Europe","Europe","atlantic"
"Moldova",4.1,11,1.3,69,65,73,"Eastern Europe","Europe","atlantic"
"Poland",38.2,5,1.3,76,72,81,"Eastern Europe","Europe","atlantic"
"Romania",21.4,10,1.3,73,70,77,"Eastern Europe","Europe","atlantic"
"Russia",143.2,8,1.6,69,63,75,"Eastern Europe","Europe","atlantic"
"Slovakia",5.4,5,1.4,75,72,79,"Eastern Europe","Europe","atlantic"
"Ukraine",45.6,9,1.5,70,65,76,"Eastern Europe","Europe","atlantic"
"Albania",2.8,18,1.4,75,73,78,"Southern Europe","Europe","atlantic"
"Bosnia-Herzegovina",3.8,5,1.2,76,73,78,"Southern Europe","Europe","atlantic"
"Croatia",4.3,4,1.5,77,74,80,"Southern Europe","Europe","atlantic"
"Greece",10.8,4,1.5,80,78,82,"Southern Europe","Europe","atlantic"
"Italy",60.9,3,1.4,82,79,85,"Southern Europe","Europe","atlantic"
"Kosovo",2.3,9,2,69,67,71,"Southern Europe","Europe","atlantic"
"Macedonia",2.1,8,1.5,72,70,74,"Southern Europe","Europe","atlantic"
"Portugal",10.6,3,1.3,79,76,82,"Southern Europe","Europe","atlantic"
"Serbia",7.1,7,1.3,74,71,77,"Southern Europe","Europe","atlantic"
"Slovenia",2.1,3,1.5,80,76,83,"Southern Europe","Europe","atlantic"
"Spain",46.2,3,1.4,82,79,85,"Southern Europe","Europe","atlantic"
"Australia",22,4,1.9,82,80,84,"Oceania","Asia/Oceania","pacific"
"New Zealand",4.4,5,2.1,81,79,83,"Oceania","Asia/Oceania","pacific"
"Papua New Guinea",7,47,4.1,62,60,65,"Oceania","Asia/Oceania","pacific"
